Species	Isobase_id	Name	Ensembl_gene	KEGG	GO
#Isologs:
ce	ce1646	msh-2	H26D21.2	K08735	GO:0003677|GO:0005524|GO:0030983
dm	dm1895	spel1	FBgn0015546	K08735	GO:0005524|GO:0030983
dm	dm1704				
mm	mm2172	Msh2	ENSMUSG00000024151	K08735	GO:0030983|GO:0016887|GO:0003677|GO:0032137|GO:0000166|GO:0019237|GO:0003684|GO:0005524
sc	sc544	MSH2	YOL090W	K08735	GO:0000403|GO:0000400|GO:0000406|GO:0000404|GO:0032138|GO:0030983|GO:0016887|GO:0003677|GO:0032137|GO:0032135|GO:0000166|GO:0005524
hs	hs2516	MSH2	ENSG00000095002	K08735	GO:0008022|GO:0032142|GO:0032143|GO:0019899|GO:0030983|GO:0016887|GO:0003677|GO:0032357|GO:0000287|GO:0000166|GO:0042802|GO:0032139|GO:0032137|GO:0003690|GO:0019237|GO:0003697|GO:0005524|GO:0042803|GO:0019901|GO:0043531|GO:0000400|GO:0032181|GO:0032405|GO:0005515|GO:0003684

#Cluster id: 1080
#Entropy: 0.0
#Isologs:
ce	ce11068	Q21911_CAEEL	R10E9.1		GO:0003676|GO:0000166
dm	dm7640	CG32169	FBgn0052169		
mm	mm11698	Msi2	ENSMUSG00000069769		GO:0008266|GO:0003727|GO:0003723|GO:0003676|GO:0000166
hs	hs12775	MSI2	ENSG00000153944		GO:0008266|GO:0003727|GO:0000166

#Cluster id: 1248
#Entropy: 0.811278
#Isologs:
ce	ce8736	mkk-4	F42G10.2	K04430	GO:0004674|GO:0031435|GO:0005524|GO:0004672
ce	ce8946	O01706_CAEEL	VZC374L.1	K00924	GO:0004674|GO:0005524|GO:0004672
ce	ce7199	Q8MPS3_CAEEL	ZC449.3		GO:0004674|GO:0005524|GO:0004672
ce	ce6241	Q58AU7_CAEEL	F35C8.1		GO:0004674|GO:0005524|GO:0004672
dm	dm6564	Mkk4	FBgn0024326	K04430	GO:0004674|GO:0008545|GO:0004708|GO:0005524|GO:0004702
dm	dm13977	CG12798	FBgn0039987		GO:0005524|GO:0004672
dm	dm13988				
hs	hs10511	MAP2K4	ENSG00000065559	K04430	GO:0000166|GO:0004674|GO:0016740|GO:0004713|GO:0005515|GO:0004672|GO:0005524

#Cluster id: 2077
#Entropy: 0.0
#Isologs:
ce	ce692	msh-6	Y47G6A.11	K08737	GO:0003677|GO:0005524|GO:0030983
dm	dm1089	Msh6	FBgn0036486	K08737	GO:0005524|GO:0030983
mm	mm784	Msh6	ENSMUSG00000005370		GO:0000166|GO:0030983|GO:0003677|GO:0032137|GO:0003682|GO:0003684|GO:0005524
sc	sc247	MSH6	YDR097C	K08737	GO:0000403|GO:0000400|GO:0000404|GO:0003677|GO:0000166|GO:0016887|GO:0032138|GO:0032137|GO:0030983|GO:0005524
hs	hs994	MSH6	ENSG00000116062	K08737	GO:0032357|GO:0000400|GO:0000166|GO:0005515|GO:0032142|GO:0032143|GO:0000287|GO:0030983|GO:0032405|GO:0016887|GO:0032137|GO:0003690|GO:0003682|GO:0043531|GO:0003684|GO:0005524|GO:0042803

#Cluster id: 2152
#Entropy: 0.0
#Isologs:
mm	mm5831	Msn	ENSMUSG00000031207	K05763	GO:0003779|GO:0005488|GO:0008092
sc	sc59	USO1	YDL058W		GO:0008565|GO:0005488
hs	hs6272	MSN	ENSG00000147065	K05763	GO:0003779|GO:0005102|GO:0050839|GO:0005200|GO:0005515

#Cluster id: 2315
#Entropy: 0.0
#Isologs:
ce	ce1578	zfp-1	F54F2.2		GO:0003682|GO:0008270|GO:0005515
dm	dm831				
mm	mm1525	Mllt6	ENSMUSG00000038437		GO:0046872
sc	sc1043	NTO1	YPR031W		GO:0004402|GO:0046872|GO:0035064|GO:0008270
sc	sc177	SNT2	YGL131C		GO:0046872|GO:0008270|GO:0003677
hs	hs1771	MLLT6	ENSG00000108292		GO:0046872|GO:0008270|GO:0005515

#Cluster id: 2336
#Entropy: 0.0
#Isologs:
ce	ce17773	O44949_CAEEL	C34B2.4		GO:0008270
dm	dm7372	Bx	FBgn0000242		GO:0008270
mm	mm19604	Lmo2	ENSMUSG00000032698		GO:0046872|GO:0008270|GO:0005515|GO:0003677
hs	hs18844	LMO2	ENSG00000135363		GO:0046872|GO:0008270|GO:0005515|GO:0003677

#Cluster id: 2396
#Entropy: 0.918296
#Isologs:
ce	ce895				
ce	ce878	mig-15	ZC504.4	K08282	GO:0004674|GO:0005083|GO:0005524|GO:0004672
dm	dm583	msn	FBgn0010909		GO:0005083|GO:0008349|GO:0004674|GO:0004702|GO:0042656|GO:0005524
dm	dm531				
mm	mm995	Map4k4	ENSMUSG00000026074	K04407	GO:0005083|GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0005524
hs	hs1081	MAP4K4	ENSG00000071054	K04407	GO:0004674|GO:0016740|GO:0005083|GO:0005524|GO:0000166

#Cluster id: 3204
#Entropy: 0.918296
#Isologs:
ce	ce4382	Q8T6F8_CAEEL	Y92H12A.1	K08253	GO:0004713|GO:0004674|GO:0005524|GO:0005515|GO:0004672
mm	mm5106	Itk	ENSMUSG00000020395	K07363	GO:0016301|GO:0000166|GO:0016740|GO:0004715|GO:0004713|GO:0005515|GO:0004672|GO:0046872|GO:0005524
hs	hs5569	ITK	ENSG00000113263	K07363	GO:0000166|GO:0016740|GO:0004715|GO:0005515|GO:0046872|GO:0005524

#Cluster id: 3493
#Entropy: 0.0
#Isologs:
ce	ce718	utx-1	D2021.1		GO:0005488
ce	ce2317	C29F7.6	C29F7.6		
dm	dm2601				
dm	dm1185	CG5640	FBgn0032207		
mm	mm697	Kdm6a	ENSMUSG00000037369		GO:0046872|GO:0016702|GO:0005488|GO:0016491
mm	mm2265				
mm	mm1099	Uty	ENSMUSG00000068457		GO:0046872|GO:0016702|GO:0005488|GO:0016491
mm	mm16393				
hs	hs929	KDM6A	ENSG00000147050		GO:0046872|GO:0016702|GO:0005488|GO:0016491

#Cluster id: 3635
#Entropy: 0.0
#Isologs:
mm	mm5017	Muc1	ENSMUSG00000042784		
sc	sc1108	AGA1	YNR044W		GO:0050839
hs	hs7425	MUC1	ENSG00000185499	K06568	

#Cluster id: 3682
#Entropy: 0.0
#Isologs:
dm	dm1830	ear	FBgn0026441		GO:0016251
mm	mm5955	Mllt3	ENSMUSG00000028496		GO:0005515
hs	hs6425	MLLT3	AAH36089.1|ENSG00000171843		GO:0005515

#Cluster id: 3841
#Entropy: 0.0
#Isologs:
dm	dm745	Alh	FBgn0037471		
mm	mm1578	Mllt10	ENSMUSG00000026743		GO:0046872|GO:0008270|GO:0005515
hs	hs2051	MLLT10	ENSG00000078403		GO:0003700|GO:0046872|GO:0008270|GO:0005515

#Cluster id: 4113
#Entropy: 0.0
#Isologs:
ce	ce12975	Q9U9C3_CAEEL	Y75B8A.1	K09300	GO:0003700|GO:0043565|GO:0030528|GO:0003677
mm	mm12048	Hoxd11	ENSMUSG00000042499		GO:0003700|GO:0043565|GO:0030528|GO:0003677
hs	hs12419	HOXD11	ENSG00000128713		GO:0003700|GO:0043565

#Cluster id: 4203
#Entropy: 0.0
#Isologs:
dm	dm4131	Zyx102EF	FBgn0011642		GO:0008270
mm	mm5271	Lpp	ENSMUSG00000033306		GO:0046872|GO:0008270
hs	hs5690	LPP	ENSG00000145012|NP_005569.1		GO:0046872|GO:0008270|GO:0005515

#Cluster id: 4263
#Entropy: 0.0
#Isologs:
dm	dm3681	CG12054	FBgn0039831		GO:0008270
mm	mm16201	Jazf1	ENSMUSG00000063568		GO:0046872|GO:0003714|GO:0008270|GO:0003676
hs	hs15847	JAZF1	ENSG00000153814		GO:0003714|GO:0046872|GO:0008270|GO:0003676

#Cluster id: 4600
#Entropy: 0.0
#Isologs:
ce	ce2036	zyg-12	ZK546.1		GO:0051959|GO:0043621
dm	dm3204	hk	FBgn0001202		GO:0008017
mm	mm3939	Hook3	ENSMUSG00000037234		GO:0005515
hs	hs4337	HOOK3	ENSG00000168172		GO:0008017|GO:0042802|GO:0005515

#Cluster id: 4688
#Entropy: 0.0
#Isologs:
ce	ce1526	Q965M2_CAEEL	T21D12.9		GO:0005515
dm	dm1120	lbk	FBgn0034083		GO:0005515
mm	mm1393	Lrig3	ENSMUSG00000020105		GO:0005515
hs	hs1671	LRIG3	ENSG00000139263		GO:0005515

#Cluster id: 4817
#Entropy: 0.0
#Isologs:
mm	mm235	Hcfc1	ENSMUSG00000031386		GO:0003713|GO:0005515
sc	sc188	MUC1	YIR019C	K01178	
hs	hs326	HCFC1	ENSG00000172534		GO:0003700|GO:0003713|GO:0042802|GO:0005515

#Cluster id: 5019
#Entropy: 1.0
#Isologs:
dm	dm5432	Abd-B	FBgn0000015	K09300	GO:0003700|GO:0043565|GO:0003704
mm	mm23614	Hoxc11	ENSMUSG00000001656		GO:0003700|GO:0043565|GO:0030528|GO:0003677
hs	hs13825	HOXC11	ENSG00000123388	K09296	GO:0003700|GO:0043565|GO:0003702

#Cluster id: 5102
#Entropy: 0.0
#Isologs:
ce	ce4654	hlh-30	W02C12.3		GO:0030528
dm	dm3562	Mitf	FBgn0067895		GO:0030528
mm	mm6756	Mitf	ENSMUSG00000035158		GO:0043565|GO:0003700|GO:0003705|GO:0030528|GO:0016563|GO:0003677|GO:0003682
hs	hs7233	MITF	ENSG00000187098	K09455	GO:0003682|GO:0016563|GO:0003705

#Cluster id: 5224
#Entropy: 1.0
#Isologs:
ce	ce622	Q21038_CAEEL	F59F3.1	K08252	GO:0005515|GO:0004674|GO:0004713|GO:0005524|GO:0004672
ce	ce5665	Q21867_CAEEL	R09D1.12		GO:0005515|GO:0004674|GO:0004713|GO:0005524|GO:0004672
mm	mm7405	Kdr	ENSMUSG00000062960		GO:0004714|GO:0005021|GO:0016301|GO:0019838|GO:0000166|GO:0016740|GO:0004713|GO:0005515|GO:0004672|GO:0005524|GO:0004872
hs	hs1005	KDR	ENSG00000128052	K05098	GO:0005178|GO:0005021|GO:0019838|GO:0000166|GO:0004716|GO:0004714|GO:0016740|GO:0004872|GO:0005515|GO:0051879|GO:0005524

#Cluster id: 5343
#Entropy: 0.0
#Isologs:
ce	ce10198	LASP1_CAEEL	F42H10.3		GO:0008270
dm	dm3420	Lasp	FBgn0063485		GO:0003779|GO:0008270
mm	mm15481	Lasp1	ENSMUSG00000038366		GO:0003779|GO:0051015|GO:0015075|GO:0008270|GO:0005515|GO:0046872
mm	mm15209				
hs	hs13119	LASP1	ENSG00000002834		GO:0005070|GO:0015075|GO:0003779|GO:0008270|GO:0005515|GO:0046872

#Cluster id: 5810
#Entropy: 0.811278
#Isologs:
ce	ce1291	gei-11	F32H2.1		GO:0003677
dm	dm3416	Myb	FBgn0002914	K09420	GO:0003700|GO:0016563|GO:0003677
mm	mm3541	Myb	ENSMUSG00000019982	K09420	GO:0003700|GO:0030528|GO:0003677
sc	sc862	BAS1	YKR099W	K09423	GO:0043565|GO:0003704|GO:0003677
hs	hs3857	MYB	ENSG00000118513	K09420	GO:0016563|GO:0005515|GO:0003677

#Cluster id: 5947
#Entropy: 1.0
#Isologs:
ce	ce5203	kin-16	M176.7	K08252	GO:0005515|GO:0004674|GO:0004713|GO:0005524|GO:0004672
ce	ce5064	old-1	C08H9.5		GO:0005515|GO:0004674|GO:0004713|GO:0005524|GO:0004672
mm	mm1953	Kit	ENSMUSG00000005672		GO:0016301|GO:0005020|GO:0016740|GO:0000166|GO:0004714|GO:0004872|GO:0005515|GO:0004672|GO:0005524|GO:0004713
hs	hs2293	KIT	ENSG00000157404	K05091	GO:0005020|GO:0000166|GO:0004716|GO:0016740|GO:0004872|GO:0005515|GO:0005524|GO:0004713

#Cluster id: 6226
#Entropy: 0.0
#Isologs:
dm	dm2611	Mnn1	FBgn0031885		
mm	mm5301	Men1	ENSMUSG00000024947		GO:0003682|GO:0030528|GO:0005515|GO:0003677
hs	hs5638	MEN1	ENSG00000133895		GO:0000403|GO:0000400|GO:0047485|GO:0018024|GO:0030528|GO:0070412|GO:0005515|GO:0003677|GO:0003690|GO:0003682

#Cluster id: 6359
#Entropy: 0.0
#Isologs:
ce	ce259	Q86NJ4_CAEEL	W03F11.6		GO:0005515
dm	dm254			K05702	GO:0003779
mm	mm1814	Mllt4	ENSMUSG00000068036		GO:0050839|GO:0005515
hs	hs474	MLLT4	ENSG00000130396		GO:0008022|GO:0005515

#Cluster id: 6395
#Entropy: 0.0
#Isologs:
dm	dm4744	Myd88	FBgn0033402	K04729	GO:0004888|GO:0005515|GO:0005121
dm	dm1692	MstProx	FBgn0015770		GO:0004888
mm	mm14384	Myd88	ENSMUSG00000032508	K04729	GO:0004888|GO:0005102|GO:0005515|GO:0005121
hs	hs14130	MYD88	ENSG00000172936	K04729	GO:0004888|GO:0005123|GO:0005515

#Cluster id: 6664
#Entropy: 0.0
#Isologs:
dm	dm258	CG31190	FBgn0051190		
mm	mm3918				
mm	mm1469	Lifr	ENSMUSG00000054263		GO:0004923|GO:0019955|GO:0004872|GO:0005515|GO:0004896
hs	hs1750	LIFR	ENSG00000113594	K05058	GO:0005127|GO:0004923|GO:0004924|GO:0019838|GO:0004872|GO:0004897

#Cluster id: 6676
#Entropy: 0.0
#Isologs:
dm	dm10770	CG3770	FBgn0035085		
mm	mm17920	Lhfp	ENSMUSG00000048332		
hs	hs17374	LHFP	ENSG00000183722		GO:0003677

#Cluster id: 6843
#Entropy: 0.0
#Isologs:
dm	dm149	trr	FBgn0023518		GO:0042054|GO:0003713|GO:0008270|GO:0003677|GO:0005102|GO:0042800
mm	mm1003	Mll2	ENSMUSG00000048154		GO:0008168|GO:0016740|GO:0005515
hs	hs13	MLL2	ENSG00000167548	K09187	GO:0018024|GO:0010843|GO:0016740|GO:0008270|GO:0005515|GO:0003677|GO:0008168|GO:0046872

#Cluster id: 7006
#Entropy: 1.0
#Isologs:
dm	dm609	CG5591	FBgn0034926		GO:0003677|GO:0008270|GO:0005515|GO:0030528
mm	mm6	Mll3	ENSMUSG00000038056		GO:0018024|GO:0016740|GO:0008270|GO:0005515|GO:0003677|GO:0008168|GO:0046872|GO:0042800
sc	sc1870	SET4	YJL105W	K07117	GO:0046872|GO:0008270
hs	hs19	MLL3	ENSG00000055609	K09188	GO:0018024|GO:0016740|GO:0008270|GO:0005515|GO:0003677|GO:0008168|GO:0046872

#Cluster id: 7060
#Entropy: 0.0
#Isologs:
dm	dm1584	asl	FBgn0259895		
mm	mm837	Ktn1	ENSMUSG00000021843		GO:0019894
mm	mm1546				
hs	hs1003	KTN1	ENSG00000126777		

#Cluster id: 7784
#Entropy: 0.0
#Isologs:
ce	ce3122	F22D3.6	F22D3.6		GO:0004197
mm	mm2956	Malt1	ENSMUSG00000032688		GO:0016787|GO:0008233|GO:0004197|GO:0005515
hs	hs3290	MALT1	ENSG00000172175	K07369	GO:0004871|GO:0019209|GO:0004197|GO:0005515|GO:0008233|GO:0004842|GO:0043621

#Cluster id: 8168
#Entropy: 0.0
#Isologs:
dm	dm2891	dm	FBgn0000472		GO:0003700|GO:0005515|GO:0003677
mm	mm10924	Mycl1	ENSMUSG00000028654	K09110	GO:0003700|GO:0005515|GO:0030528|GO:0003677
hs	hs11528	MYCL1	ENSG00000116990		GO:0003700|GO:0005515|GO:0003677

#Cluster id: 8208
#Entropy: 0.0
#Isologs:
dm	dm4522	meso18E	FBgn0040089		
sc	sc4121	MPD2	YOL088C		GO:0015035|GO:0003756|GO:0016853
hs	hs9170	IRF4	ENSG00000137265	K09445	GO:0003700|GO:0003702|GO:0008134|GO:0016563

#Cluster id: 8379
#Entropy: 0.0
#Isologs:
dm	dm620	Mrtf	FBgn0052296		GO:0016563|GO:0003676
mm	mm2024	Mkl1	ENSMUSG00000042292		GO:0005515|GO:0003713|GO:0003779|GO:0003785|GO:0003676|GO:0016563
hs	hs2531	MKL1	ENSG00000196588		GO:0003676|GO:0003713|GO:0003785|GO:0005515

#Cluster id: 9290
#Entropy: 0.0
#Isologs:
mm	mm5105	Mpl	ENSMUSG00000006389		GO:0004872|GO:0004896
hs	hs5342	MPL	ENSG00000117400	K05082	GO:0004888|GO:0004896

#Cluster id: 10247
#Entropy: 0.0
#Isologs:
mm	mm6683	Il21r	ENSMUSG00000030745	K05075	GO:0004888|GO:0004872|GO:0004896
mm	mm2401				
hs	hs6993	IL21R	ENSG00000103522	K05075	GO:0004872|GO:0001532

#Cluster id: 10422
#Entropy: 0.0
#Isologs:
mm	mm21026	Hmga2	ENSMUSG00000056758	K09283	GO:0005515|GO:0019899|GO:0003677
hs	hs20910	HMGA2	ENSG00000149948	K09283	GO:0003680|GO:0005515|GO:0003677

#Cluster id: 11390
#Entropy: 0.0
#Isologs:
ce	ce4315	Q21299_CAEEL	W08D2.8		GO:0004713|GO:0004674|GO:0005524|GO:0005515|GO:0004672
hs	hs1650				
hs	hs1632	JAK3	ENSG00000105639		GO:0005524|GO:0016740|GO:0004715|GO:0004713|GO:0005515|GO:0000166|GO:0004718
mm	mm902	Jak3	ENSMUSG00000031805		GO:0005524|GO:0016301|GO:0000166|GO:0016740|GO:0004715|GO:0004713|GO:0005515|GO:0004672|GO:0004718

#Cluster id: 11882
#Entropy: 0.0
#Isologs:
hs	hs8943	IL7R	ENSG00000168685	K05072	GO:0004917|GO:0005515|GO:0003823|GO:0004872
mm	mm8406	Il7r	ENSMUSG00000003882		GO:0004872|GO:0004896

