Species	Isobase_id	Name	Ensembl_gene	KEGG	GO
dm	dm11667	CG7375	FBgn0035853	K10579	GO:0004842|GO:0005524
mm	mm18620	Ube2m	ENSMUSG00000005575	K10579	GO:0019787|GO:0016881|GO:0016874|GO:0005524|GO:0000166
mm	mm18764				
sc	sc4955	UBC12	YLR306W	K10579	GO:0019787|GO:0004842|GO:0019788|GO:0016881|GO:0000166|GO:0016874|GO:0005524
hs	hs17999	UBE2M	ENSG00000130725	K10579	GO:0018169|GO:0004842|GO:0000166|GO:0005515|GO:0019788|GO:0016874|GO:0005524

#Cluster id: 738
#Entropy: 1.25163
#Isologs:
ce	ce3256	aak-2	T01C8.1	K07198	GO:0004674|GO:0005524|GO:0004672
ce	ce3295	aak-1	PAR2.3		GO:0004674|GO:0005524|GO:0004672
dm	dm4175	SNF1A	FBgn0023169	K07198	GO:0004674|GO:0004679|GO:0004703|GO:0005524
dm	dm2977	KP78a	FBgn0026064	K08286	GO:0004674|GO:0005524
mm	mm6261	Prkaa2	ENSMUSG00000028518	K07198	GO:0030674|GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0046872|GO:0004679|GO:0005524
mm	mm19583				
sc	sc1458	SNF1	YDR477W	K00924	GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0004679|GO:0005524
hs	hs6715	PRKAA2	ENSG00000162409	K07198	GO:0030674|GO:0000166|GO:0016740|GO:0005515|GO:0004672|GO:0046872|GO:0004679|GO:0005524

#Cluster id: 820
#Entropy: 0.0
#Isologs:
ce	ce17398	rnp-4	R07E5.14		GO:0003723|GO:0003676|GO:0000166
dm	dm11999	tsu	FBgn0033378		GO:0003729|GO:0000166
dm	dm7556	RnpS1	FBgn0037707		GO:0003729|GO:0003676|GO:0000166
mm	mm18950	Rbm8a	ENSMUSG00000038374		GO:0003729
sc	sc5341	IST3	YIR005W		GO:0000384|GO:0003723|GO:0003676|GO:0000166
hs	hs18304	RBM8A	ENSG00000131795		GO:0000166|GO:0003723|GO:0005515|GO:0003729

#Cluster id: 830
#Entropy: 0.650022
#Isologs:
ce	ce1792	rad-54	W06D4.6	K10875	GO:0004386|GO:0003676|GO:0005524|GO:0003677
ce	ce1706	Q9U2S8_CAEEL	Y116A8C.13		GO:0008026|GO:0004386|GO:0003676|GO:0003677|GO:0005524|GO:0016491
dm	dm2495	okr	FBgn0002989	K10875	GO:0004003|GO:0005524|GO:0003677
mm	mm3614	Rad54l	ENSMUSG00000028702	K10875	GO:0016787|GO:0004386|GO:0003676|GO:0003677|GO:0000166|GO:0005524
mm	mm2777	0610007P08Rik	ENSMUSG00000021470		GO:0016787|GO:0008026|GO:0004386|GO:0003676|GO:0003677|GO:0000166|GO:0005524
sc	sc656	RAD54	YGL163C	K10875	GO:0008094|GO:0015616|GO:0016787|GO:0004386|GO:0003676|GO:0003677|GO:0000166|GO:0005524
sc	sc609	RDH54	YBR073W	K10877	GO:0016787|GO:0015616|GO:0016853|GO:0008094|GO:0004386|GO:0003916|GO:0003676|GO:0003677|GO:0000166|GO:0005524
sc	sc555				
hs	hs4010	RAD54L	ENSG00000085999	K10875	GO:0016787|GO:0004386|GO:0003677|GO:0005524|GO:0000166

#Cluster id: 910
#Entropy: 0.811278
#Isologs:
ce	ce3676	cdk-8	F39H11.3	K02208	GO:0004674|GO:0005524|GO:0004672
dm	dm6055	Cdk8	FBgn0015618	K02208	GO:0004693|GO:0004674|GO:0005524|GO:0016455
mm	mm6370	Cdk19	ENSMUSG00000038481		GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0004693|GO:0005524
mm	mm14820				
sc	sc1892	SSN3	YPL042C	K00924	GO:0016251|GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0004693|GO:0008353|GO:0046872|GO:0005524|GO:0016455
hs	hs7826	CDC2L6	ENSG00000155111	K02208	

#Cluster id: 971
#Entropy: 0.0
#Isologs:
ce	ce15766	GDIR_CAEEL	F46H6.1		GO:0005094
dm	dm11169	RhoGDI	FBgn0036921		GO:0005094
sc	sc4812	RDI1	YDL135C		GO:0005096|GO:0005094
hs	hs17218	ARHGDIA	ENSG00000141522|NP_004300.1		GO:0042802|GO:0005096|GO:0005094|GO:0005515

#Cluster id: 1052
#Entropy: 0.0
#Isologs:
ce	ce17096	pfd-5	R151.9	K04797	GO:0051082
dm	dm11931	CG7048	FBgn0038976	K04797	GO:0051082
mm	mm19538	Pfdn5	ENSMUSG00000001289	K04797	GO:0051082
mm	mm19218				
sc	sc5180	GIM5	YML094W	K04797	GO:0015631|GO:0051082
hs	hs18984	PFDN5	ENSG00000123349	K04797	GO:0016566|GO:0003714|GO:0005515|GO:0051082

#Cluster id: 1088
#Entropy: 0.0
#Isologs:
ce	ce14354	O02092_CAEEL	F43E2.2	K03012	GO:0003899
dm	dm12856				
mm	mm20353	Polr2d	ENSMUSG00000024258	K03012	GO:0003899|GO:0003824|GO:0000166
sc	sc4607	RPB4	YJL140W	K03012	GO:0003824|GO:0003697|GO:0003899|GO:0003727|GO:0000166
hs	hs19471	POLR2D	ENSG00000144231	K03012	GO:0003899|GO:0003824|GO:0000166|GO:0004672

#Cluster id: 1188
#Entropy: 0.0
#Isologs:
dm	dm7887	Sirt2	FBgn0038788		GO:0017136|GO:0008270|GO:0070403
mm	mm15716	Sirt3	ENSMUSG00000025486		GO:0016787|GO:0051287|GO:0016811|GO:0008270|GO:0070403|GO:0046872
sc	sc3377	HST2	YPL015C		GO:0016787|GO:0051287|GO:0016811|GO:0017136|GO:0008270|GO:0070403|GO:0046872
sc	sc2645	HST3	YOR025W		GO:0016787|GO:0004407|GO:0016811|GO:0008270|GO:0070403|GO:0003677|GO:0046872
hs	hs10518	SIRT3	ENSG00000142082|NP_036371.1		GO:0016787|GO:0070403|GO:0016811|GO:0008270|GO:0005515|GO:0003950|GO:0046872

#Cluster id: 1379
#Entropy: 0.0
#Isologs:
ce	ce11238	ebp-1	Y59A8B.7	K10436	GO:0008017
ce	ce12035	ebp-2	VW02B12L.3		GO:0008017
ce	ce15899	ebp-3	Y59A8B.9		GO:0008017
dm	dm5319	CG6985	FBgn0039017		
mm	mm14849	Mapre3	ENSMUSG00000029166	K10436	GO:0008017|GO:0005515
sc	sc3479	BIM1	YER016W		GO:0008017|GO:0005200|GO:0008092
sc	sc4919	TIM18	YOR297C		GO:0005506|GO:0015266|GO:0020037
sc	sc3177	COS12	YGL263W		
hs	hs14587	MAPRE3	ENSG00000084764|NP_036458.2		GO:0008017|GO:0005083|GO:0005515

#Cluster id: 1406
#Entropy: 1.5
#Isologs:
dm	dm9738	CCS	FBgn0010531	K00518	GO:0016532
mm	mm15079	Ccs	ENSMUSG00000034108	K04569	GO:0046872|GO:0019899
sc	sc4356	CCS1	YMR038C	K01743	GO:0046872|GO:0016532
hs	hs14799	CCS	ENSG00000173992	K04569	GO:0005507|GO:0005375|GO:0046872|GO:0019899|GO:0005515

#Cluster id: 1425
#Entropy: 1.0
#Isologs:
ce	ce11210	Q93968_CAEEL	T01H8.2		GO:0003824|GO:0030170
dm	dm5812	CG8129	FBgn0037684	K01501|K01754	GO:0004794|GO:0016597|GO:0030170
mm	mm11926	Srr	ENSMUSG00000001323	K01780	GO:0018114|GO:0030378|GO:0016853|GO:0046872|GO:0003824|GO:0030170|GO:0005515|GO:0016594|GO:0042803|GO:0005524|GO:0005509
sc	sc3643	SRY1	YKL218C		GO:0003824|GO:0016829|GO:0030378|GO:0030170|GO:0030848
sc	sc1755	ILV1	YER086W	K01754	GO:0003824|GO:0004794|GO:0016829|GO:0030170
hs	hs12342	SRR	ENSG00000167720	K01780	GO:0018114|GO:0030378|GO:0016853|GO:0003941|GO:0030165|GO:0030170|GO:0005515|GO:0016594|GO:0042803|GO:0005524|GO:0005509

#Cluster id: 1444
#Entropy: 0.0
#Isologs:
ce	ce13481	NTH1_CAEEL	R10E4.5	K10773	GO:0004519|GO:0000703|GO:0034042|GO:0034043|GO:0003677
dm	dm7293	CG9272	FBgn0032907	K10773	GO:0004519|GO:0000703|GO:0051539|GO:0003677
mm	mm14218	Nthl1	ENSMUSG00000041429	K10773	GO:0016787|GO:0051539|GO:0004519|GO:0051536|GO:0016798|GO:0003906|GO:0003824|GO:0003677|GO:0046872|GO:0016829
sc	sc3015	NTG1	YAL015C	K10773	GO:0016787|GO:0004519|GO:0000703|GO:0016798|GO:0008534|GO:0003906|GO:0003824|GO:0003677
sc	sc3176	NTG2	YOL043C	K10773	GO:0016787|GO:0051539|GO:0004519|GO:0051536|GO:0016798|GO:0003906|GO:0003824|GO:0046872|GO:0000703
hs	hs13437	NTHL1	ENSG00000065057	K10773	GO:0051539|GO:0004519|GO:0016829|GO:0019104|GO:0016798|GO:0003906|GO:0005515|GO:0003677|GO:0003690|GO:0046872|GO:0000703

#Cluster id: 1475
#Entropy: 0.0
#Isologs:
ce	ce11921	CCNC_CAEEL	H14E04.5		
dm	dm9658	CycC	FBgn0004597	K00960	GO:0016538|GO:0005515|GO:0016455
mm	mm12693	Ccnc	ENSMUSG00000028252		
sc	sc3664	SSN8	YNL025C		GO:0016251|GO:0016455|GO:0016538
hs	hs13891	CCNC	ENSG00000112237		GO:0005515

#Cluster id: 1593
#Entropy: 0.0
#Isologs:
ce	ce13783	YS87_CAEEL	ZK945.7		
ce	ce17810	Q966A8_CAEEL	Y58A7A.1		GO:0005375
ce	ce17689	Q21009_CAEEL	F58G6.3		GO:0005375
ce	ce16965	Q5CZ44_CAEEL	F58G6.9		GO:0005375
dm	dm10509	Ctr1A	FBgn0062413		GO:0005375|GO:0015088
dm	dm10299				
dm	dm11820	Ctr1B	FBgn0062412		GO:0005375|GO:0015088
dm	dm12296	CG9894	FBgn0031453		
mm	mm18087	Slc31a1	ENSMUSG00000066150		GO:0005375
sc	sc2430	MEC3	YLR288C	K02544	GO:0003677
sc	sc4423	CTR3	YLR411W		GO:0005375|GO:0015088
hs	hs17739	SLC31A1	ENSG00000136868		GO:0005375

#Cluster id: 1656
#Entropy: 1.45915
#Isologs:
ce	ce7458	tag-124	E02H1.3	K01718	GO:0003723|GO:0009982
dm	dm5349	CG3045	FBgn0034703	K01718	GO:0004730|GO:0003723|GO:0009982
mm	mm7823	Pus3	ENSMUSG00000032103	K01855	GO:0016853|GO:0009982|GO:0003723
sc	sc2684	DEG1	YFL001W	K01855	GO:0016853|GO:0009982|GO:0003723
sc	sc1972	PUS1	YPL212C	K06173	GO:0003723|GO:0009982|GO:0016853
hs	hs8347	PUS3	ENSG00000110060	K01855	GO:0003723|GO:0009982|GO:0016853

#Cluster id: 1817
#Entropy: 0.0
#Isologs:
ce	ce3996	unc-62	T28F12.2		GO:0003700|GO:0043565|GO:0005515|GO:0003677
ce	ce8110	O01482_CAEEL	C06A5.9		GO:0008270|GO:0005515
dm	dm12678	CG32638	FBgn0052638		
mm	mm19458	Agtrap	ENSMUSG00000029007		GO:0004945|GO:0004872|GO:0005515
sc	sc40	UBR1	YGR184C	K10625	GO:0016874|GO:0046872|GO:0004842|GO:0008270
hs	hs18805	AGTRAP	ENSG00000177674		GO:0005515

#Cluster id: 1918
#Entropy: 0.0
#Isologs:
ce	ce1130	O45609_CAEEL	M03C11.8		GO:0016787|GO:0004386|GO:0003676|GO:0005524|GO:0003677
mm	mm1769	Smarcad1	ENSMUSG00000029920		GO:0016787|GO:0004386|GO:0003676|GO:0003677|GO:0000166|GO:0005524
sc	sc339	FUN30	YAL019W		GO:0016787|GO:0016887|GO:0042623|GO:0000166|GO:0003676|GO:0003677|GO:0004386|GO:0005524
hs	hs2046	SMARCAD1	ENSG00000163104		GO:0016787|GO:0000166|GO:0003676|GO:0003677|GO:0004386|GO:0005524

#Cluster id: 2036
#Entropy: 0.0
#Isologs:
ce	ce790	math-33	H19N07.2	K01072	GO:0004221
ce	ce7915	BAT38_CAEEL	F52H3.3		GO:0005515
ce	ce381	pqn-87	Y57A10A.18		
ce	ce337				
dm	dm1204	Usp7	FBgn0030366	K01072	GO:0004843|GO:0004221
mm	mm1426	Usp7	ENSMUSG00000022710	K01072	GO:0016787|GO:0004221|GO:0008234|GO:0008233|GO:0004843|GO:0042803
sc	sc254	UBP15	YMR304W	K01072	GO:0016787|GO:0008233|GO:0004843|GO:0008234|GO:0004221
hs	hs1731	USP7	ENSG00000187555	K01072	GO:0008022|GO:0031625|GO:0004221|GO:0008134|GO:0004197|GO:0005515|GO:0008233|GO:0002039|GO:0004843

#Cluster id: 2266
#Entropy: 0.918296
#Isologs:
ce	ce4978	pha-4	F38A6.1		GO:0003700|GO:0043565|GO:0016563
dm	dm5152	fkh	FBgn0000659	K08035	GO:0003700|GO:0043565|GO:0030528
mm	mm11435	Foxa3	ENSMUSG00000040891	K08038	GO:0003700|GO:0043565|GO:0030528|GO:0003677
sc	sc2039				
sc	sc1839	HCM1	YCR065W		GO:0003700|GO:0043565|GO:0003704|GO:0003677
hs	hs12012	FOXA3	ENSG00000170608	K08038	GO:0010843|GO:0003700

#Cluster id: 2302
#Entropy: 0.0
#Isologs:
ce	ce359	emb-4	Y80D3A.2		
dm	dm611	CG31368	FBgn0051368		GO:0003676|GO:0005524|GO:0008026
mm	mm587	Aqr	ENSMUSG00000040383		GO:0003723
sc	sc1266	HCS1	YKL017C		GO:0016787|GO:0003677|GO:0017111|GO:0004386|GO:0043141|GO:0000166|GO:0005524
hs	hs700	AQR	ENSG00000021776		GO:0003723

#Cluster id: 2401
#Entropy: 0.0
#Isologs:
ce	ce6688	Q17431_CAEEL	B0035.11		
dm	dm2837	Atu	FBgn0019637		
dm	dm3730	CG15295	FBgn0030220		
dm	dm3234	CG10887	FBgn0038773		
mm	mm4536	Leo1	ENSMUSG00000042487		
sc	sc2785	DDR48	YMR173W		GO:0003924|GO:0016887
sc	sc2508	LEO1	YOR123C		GO:0016944
hs	hs4939	LEO1	ENSG00000166477		GO:0005515

#Cluster id: 2470
#Entropy: 0.0
#Isologs:
ce	ce1604	Q95NM4_CAEEL	C05C10.6		
dm	dm2476	Plap	FBgn0024314		GO:0016005
mm	mm3178	Plaa	ENSMUSG00000028577		GO:0016005|GO:0005488|GO:0005515
sc	sc1131	DOA1	YKL213C		GO:0043130
hs	hs4106	PLAA	ENSG00000137055		GO:0016005|GO:0005515

#Cluster id: 2564
#Entropy: 0.0
#Isologs:
ce	ce10161	mrg-1	Y37D8A.9		
dm	dm6553	MRG15	FBgn0027378		GO:0003682
mm	mm11153	Morf4l1	ENSMUSG00000062270		GO:0003682|GO:0005515
mm	mm12581				
mm	mm13576				
mm	mm14841	RP23-405G17.1	ENSMUSG00000037381		
sc	sc2996	EAF3	YPR023C		GO:0004407|GO:0003682|GO:0004402
hs	hs11586	MORF4L1	ENSG00000185787		GO:0005515|GO:0047485

#Cluster id: 2604
#Entropy: 0.0
#Isologs:
ce	ce12976	O62236_CAEEL	F36F2.4	K08488	GO:0005484
dm	dm9358	Syx7	FBgn0086377	K08488	GO:0005484|GO:0005515
mm	mm15570	Stx7	ENSMUSG00000019998		GO:0005484|GO:0005515
sc	sc4019	PEP12	YOR036W	K08488	GO:0005484
sc	sc4066	VAM3	YOR106W	K08488	GO:0005484|GO:0005543|GO:0008289
hs	hs15238	STX7	ENSG00000079950	K08488	GO:0005484

#Cluster id: 2690
#Entropy: 1.0
#Isologs:
dm	dm1660	As	FBgn0061469	K10587	GO:0004842
mm	mm2730	Ube3a	ENSMUSG00000025326		GO:0016881|GO:0016874|GO:0004842|GO:0005515|GO:0003713
sc	sc673	HUL4	YJR036C	K03874	GO:0016881|GO:0016874|GO:0004842
hs	hs2901				

#Cluster id: 2846
#Entropy: 0.0
#Isologs:
ce	ce701	YE56_CAEEL	C10C6.6	K01552	GO:0015662|GO:0016820|GO:0016887|GO:0005524
ce	ce670	YBF7_CAEEL	K07E3.7		GO:0016787|GO:0016820|GO:0003824|GO:0016887|GO:0015662|GO:0005524
dm	dm1018	CG6230	FBgn0027582	K01552	GO:0015662|GO:0005524
mm	mm1137	Atp13a1	ENSMUSG00000031862	K01552	GO:0016787|GO:0016820|GO:0000166|GO:0003824|GO:0016887|GO:0015662|GO:0046872|GO:0005524
sc	sc272	SPF1	YEL031W	K01552	GO:0016787|GO:0016820|GO:0000166|GO:0003824|GO:0016887|GO:0015662|GO:0046872|GO:0005524
hs	hs11007	ATP13A1	ENSG00000105726	K01552	GO:0016787|GO:0016820|GO:0000166|GO:0016887|GO:0015662|GO:0046872|GO:0005524

#Cluster id: 3017
#Entropy: 0.0
#Isologs:
ce	ce18543	msh-4	T02G5.6		GO:0005524|GO:0030983
mm	mm1465	Msh3	ENSMUSG00000014850	K08736	GO:0000166|GO:0003677|GO:0030983|GO:0019237|GO:0003684|GO:0005524
sc	sc438	MSH3	YCR092C	K08736	GO:0000403|GO:0000400|GO:0000406|GO:0000404|GO:0030554|GO:0000166|GO:0032559|GO:0005524|GO:0016887|GO:0003677|GO:0032137|GO:0032135|GO:0030983|GO:0001883|GO:0001882
sc	sc554	MSH1	YHR120W		GO:0008094|GO:0030983|GO:0032139|GO:0003677|GO:0032137|GO:0000166|GO:0005524
hs	hs1611	MSH3	ENSG00000113318	K08736	GO:0032357|GO:0030983|GO:0005515|GO:0003684|GO:0032142|GO:0019899|GO:0000166|GO:0032139|GO:0032137|GO:0032181|GO:0019237|GO:0003697|GO:0005524|GO:0042803

#Cluster id: 3069
#Entropy: 0.0
#Isologs:
ce	ce7631	O01806_CAEEL	C44E4.4	K11090	GO:0003723|GO:0003676|GO:0000166
dm	dm7231	La	FBgn0011638	K11090	GO:0003718|GO:0003729|GO:0008098|GO:0000166
mm	mm9587	Ssb	ENSMUSG00000068882	K11090	GO:0003723|GO:0003676|GO:0000166
sc	sc4138	LHP1	YDL051W	K11090	GO:0000049|GO:0003723|GO:0003676|GO:0000166
hs	hs10298	SSB	ENSG00000138385	K11090	GO:0000166|GO:0000049|GO:0005515|GO:0003729

#Cluster id: 3078
#Entropy: 0.721928
#Isologs:
ce	ce6587	NSMA_CAEEL	T27F6.6	K01117	
dm	dm6246	CG12034	FBgn0035421	K01117	GO:0004767
mm	mm9451	Smpd2	ENSMUSG00000019822	K01117	GO:0016787|GO:0046872|GO:0004767
sc	sc2414	ISC1	YER019W	K01128	GO:0016787|GO:0046872|GO:0004629
hs	hs9844	SMPD2	ENSG00000135587	K01117	GO:0016787|GO:0046872|GO:0004767

#Cluster id: 3087
#Entropy: 0.0
#Isologs:
ce	ce6621	Q22302_CAEEL	T07D1.2		
dm	dm6416	CG3295	FBgn0034573		
mm	mm10232	Rmnd5a	ENSMUSG00000002222		
sc	sc2852	RMD5	YDR255C		GO:0004842
hs	hs10767	RMND5A	ENSG00000153561		

#Cluster id: 3313
#Entropy: 0.0
#Isologs:
ce	ce14032	odd-1	B0280.4	K09215	GO:0008270|GO:0003676
dm	dm4228	CG12071	FBgn0039808		GO:0008270|GO:0003676
mm	mm23012				
mm	mm21449				
sc	sc668	GIS1	YDR096W		GO:0043565|GO:0016566|GO:0051864|GO:0016563|GO:0003677|GO:0046872|GO:0008270
hs	hs21741	ZNF56	ENSG00000184635		GO:0046872|GO:0008270|GO:0003677

#Cluster id: 3376
#Entropy: 0.721928
#Isologs:
ce	ce4657	cye-1	C37A2.4	K06626	GO:0016538
ce	ce17814	O17384_CAEEL	F08F1.9		
dm	dm2944	CycE	FBgn0010382	K06626	GO:0016538
mm	mm9913	Ccne2	ENSMUSG00000028212	K06626	GO:0016538
sc	sc2740	CLB5	YPR120C	K06651	GO:0016538
hs	hs10403	CCNE2	ENSG00000175305	K06626	GO:0016538|GO:0005515

#Cluster id: 3400
#Entropy: 0.0
#Isologs:
ce	ce632	HIRA_CAEEL	K10D2.1		GO:0003682|GO:0030528
dm	dm1423	Hira	FBgn0022786		GO:0003714|GO:0003682
mm	mm1793	Hira	ENSMUSG00000022702		GO:0003682|GO:0030528|GO:0005515
sc	sc792	HIR1	YBL008W		GO:0031491|GO:0003682|GO:0003714|GO:0030528|GO:0003677
sc	sc716	HIR2	YOR038C		GO:0031491|GO:0003714|GO:0030528|GO:0003677
hs	hs2096	HIRA	ENSG00000100084		GO:0003700|GO:0003714|GO:0003682|GO:0005515

#Cluster id: 3584
#Entropy: 0.0
#Isologs:
ce	ce5242	K07H8.1	K07H8.1		
dm	dm4659	CG7861	FBgn0033055		
mm	mm6785	Tbce	ENSMUSG00000039233		GO:0051082
sc	sc2129	PAC2	YER007W		GO:0043014|GO:0008017
hs	hs7221	TBCE	ENSG00000116957		GO:0051087

#Cluster id: 3616
#Entropy: 0.0
#Isologs:
ce	ce1220	LIN36_CAEEL	F44B9.6		GO:0003676
sc	sc1956	CLN1	YMR199W	K06650	GO:0016538
hs	hs415	CDK5RAP2	ENSG00000136861|NP_060719.3		GO:0008017|GO:0042808

#Cluster id: 3764
#Entropy: 0.0
#Isologs:
ce	ce7978	grl-23	E02A10.2		
ce	ce12966	Q9XUT1_CAEEL	K08E3.2		GO:0005198
dm	dm8960	stai	FBgn0051641	K04381	GO:0008017|GO:0015631
mm	mm20016	Stmn1	ENSMUSG00000028832		GO:0015631|GO:0005515
sc	sc1603	RLF2	YPR018W		GO:0003682|GO:0030528
hs	hs19191	STMN1	ENSG00000117632	K04381	GO:0015631|GO:0004871|GO:0005515

#Cluster id: 3920
#Entropy: 0.0
#Isologs:
ce	ce8405	YP99_CAEEL	C28H8.9		GO:0008270|GO:0005515
ce	ce3343	mys-4	C34B7.4		GO:0008270|GO:0005515|GO:0016747
dm	dm5366	d4	FBgn0033015		GO:0003700|GO:0008270|GO:0005515
dm	dm6484	tth	FBgn0030502		
mm	mm10248	Dpf2	ENSMUSG00000024826		GO:0046872|GO:0008270|GO:0005515
mm	mm10594	Dpf3	ENSMUSG00000021221		GO:0046872|GO:0008270|GO:0005515
sc	sc1265	SFP1	YLR403W		GO:0003700|GO:0043565|GO:0046872|GO:0008270|GO:0003677
hs	hs10738	DPF2	ENSG00000133884		GO:0046872|GO:0008270|GO:0005515

#Cluster id: 3922
#Entropy: 0.0
#Isologs:
ce	ce6195	TYDP1_CAEEL	F52C12.1	K10862	GO:0008081
dm	dm4200	gkt	FBgn0031506	K10862	
dm	dm10990	CG31953	FBgn0051953		GO:0017005
mm	mm5320	Tdp1	ENSMUSG00000021177		GO:0004518|GO:0016787|GO:0004527|GO:0008081
sc	sc1971	TDP1	YBR223C	K10862	GO:0016787|GO:0070260|GO:0008081|GO:0004518|GO:0004527|GO:0017005
hs	hs5740	TDP1	ENSG00000042088	K10862	GO:0016787|GO:0008081|GO:0004527|GO:0017005|GO:0005515|GO:0003690|GO:0003697

#Cluster id: 3944
#Entropy: 1.0
#Isologs:
ce	ce1369	hel-308	Y55B1AL.3		GO:0016787|GO:0008026|GO:0004386|GO:0003676|GO:0003677|GO:0005524
ce	ce13045				
dm	dm1412	mus301	FBgn0002899	K01509	GO:0008026|GO:0005524|GO:0003676|GO:0004386
mm	mm1575	Helq	ENSMUSG00000035266		GO:0016787|GO:0005515|GO:0008026|GO:0017116|GO:0000166|GO:0003676|GO:0004386|GO:0005524
sc	sc441				
sc	sc287	HFM1	YGL251C	K01529	GO:0016787|GO:0046872|GO:0016887|GO:0008026|GO:0017111|GO:0004386|GO:0003676|GO:0003677|GO:0003678|GO:0000166|GO:0005524
hs	hs1734	HELQ	ENSG00000163312		GO:0016787|GO:0008026|GO:0004386|GO:0003676|GO:0000166|GO:0005524

#Cluster id: 4320
#Entropy: 0.0
#Isologs:
ce	ce578	gap-2	ZK899.8		GO:0005096
dm	dm105	Nf1	FBgn0015269	K08052	GO:0005099
mm	mm79	Nf1	ENSMUSG00000020716	K08052	GO:0045545|GO:0008017|GO:0005096|GO:0005515
sc	sc6	IRA1	YBR140C		GO:0005099|GO:0005096
sc	sc7	IRA2	YOL081W		GO:0005099|GO:0005096
hs	hs126	NF1	ENSG00000196712	K08052	GO:0005099|GO:0005515

#Cluster id: 4411
#Entropy: 0.0
#Isologs:
dm	dm7361	Spt3	FBgn0037981		GO:0003700|GO:0016251
mm	mm10709	Supt3h	ENSMUSG00000038954		
